Name,Manufacturer,Calories,Carbo,Sales
All-Bran,K,70,7,254
Apple Cinnamon Cheerios,G,110,10.5,383
Bran Flakes,P,90,13,289
Cheerios,G,110,17,490
Cinnamon Toast Crunch,G,120,13,194
Cocoa Puffs,G,110,12,729
Corn Flakes,K,100,21,928
Crispy Wheat & Raisins,G,100,11,548
Frosted Flakes,K,110,14,750
Frosted Mini-Wheats,K,100,14,602
Fruity Pebbles,P,110,13,604
Golden Crisp,P,100,11,385
Grape-Nuts,P,110,17,405
Honey Nut Cheerios,G,110,11.5,392
Honey-comb,P,110,14,253
Just Right Crunchy  Nuggets,K,110,17,310
Lucky Charms,G,110,12,813
Nut&Honey Crunch,K,120,15,231
Nutri-Grain Almond-Raisin,K,140,21,183
Raisin Bran,K,120,14,673
Rice Krispies,K,110,22,102
Special K,K,110,16,1120
Wheaties,G,100,17,271